method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
histeq,01,-2.519,5.172,5.302
histeq,23,2.231,0.117,0.233
histeq,45,2.621,1.458,1.827
gaussian,01,0.994,10.376,18.333
gaussian,23,1.619,8.75,20.781
gaussian,45,-0.795,28.679,51.95
rotate(5),01,-2.144,2.871,2.994
rotate(5),23,-0.198,53.806,124.495
rotate(5),45,-1.202,10.982,22.714
rotate(20),01,-3.34,18.356,32.719
rotate(20),23,2.041,2.291,2.291
rotate(20),45,-0.196,16.508,25.037
zoom,01,-2.187,1.549,1.429
zoom,23,1.006,25.496,64.684
zoom,45,-2.178,27.679,51.232
contrast,01,0.2,-2.597,-3.428
contrast,23,-1.953,7.895,11.528
contrast,45,-0.589,16.29,34.682
