                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6953,                 8.2976,                 2.4266,                  0.001,                    0.3,                0.00084,                0.00015,                  3.371,                 8.2292,                 1.4487,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.1789,                 7.0747,                 1.8936,                0.00133,                    0.4,                0.00195,                0.00078,                 2.5516,                 7.5472,                 1.1341,             0.00017644,             0.00017644,             0.00017644
                      3,                 2.6221,                 5.3509,                 1.5806,                0.00033,                    0.1,                0.00028,                 0.0001,                 3.0074,                 8.1949,                 1.4445,             0.00026891,             0.00026891,             0.00026891
                      4,                  2.561,                 5.0422,                 1.5198,                 0.0005,                   0.15,                 0.0005,                0.00017,                  2.687,                 7.6376,                 1.3379,             0.00035743,             0.00035743,             0.00035743
                      5,                  2.331,                 4.2122,                 1.4698,                 0.0005,                   0.15,                0.00049,                0.00021,                 2.2997,                 6.8925,                 1.2425,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.1713,                 4.6217,                 1.3309,                 0.0005,                   0.15,                0.00049,                0.00019,                 2.3665,                 6.5845,                 1.2275,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.2416,                  4.346,                 1.3535,                0.00033,                    0.1,                0.00026,                0.00012,                 2.3008,                 6.4192,                 1.2424,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.2278,                 3.7426,                  1.397,                 0.0005,                   0.15,                0.00043,                 0.0002,                  2.326,                  6.332,                 1.2041,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.2601,                 3.9152,                 1.3518,                0.00033,                    0.1,                0.00023,                  7e-05,                 2.2856,                 6.3139,                 1.2224,             0.00074061,             0.00074061,             0.00074061
                     10,                 2.0656,                 3.7873,                 1.2908,                 0.0005,                   0.15,                0.00031,                0.00015,                 2.4518,                 6.5476,                 1.2543,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.0501,                 3.4641,                 1.4087,                  0.001,                    0.3,                0.00096,                0.00038,                 2.2343,                 5.8618,                 1.2989,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.0359,                 3.3264,                 1.4004,                0.00233,                    0.7,                  0.245,                0.04291,                 2.4923,                 5.5311,                 1.3337,               0.000923,               0.000923,               0.000923
                     13,                 2.2264,                 3.4304,                 1.3174,                0.00233,                    0.7,                0.31004,                0.07964,                 2.3605,                 5.3879,                 1.2794,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.0423,                 2.9877,                  1.263,                 0.0025,                   0.75,                0.45215,                0.15706,                 2.2112,                 4.6686,                 1.2536,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.0644,                  3.173,                 1.3517,                0.00267,                    0.8,                0.40515,                0.14657,                 2.0755,                 4.4919,                 1.1426,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.2276,                 3.1757,                 1.3233,                0.00267,                    0.8,                0.37247,                0.10447,                 2.2119,                 4.6189,                 1.2064,              0.0011107,              0.0011107,              0.0011107
                     17,                 2.2052,                 3.0911,                 1.4208,                0.66441,                   0.25,                0.49564,                0.15665,                 2.3924,                 3.8975,                 1.2945,              0.0011478,              0.0011478,              0.0011478
                     18,                  2.023,                  3.024,                 1.3237,                0.73056,                0.54272,                 0.5564,                0.13819,                 2.2974,                 3.4179,                 1.2483,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.0842,                 2.7357,                 1.4293,                0.54729,                   0.45,                0.37273,                0.11609,                 2.2842,                 3.4627,                  1.254,                0.00121,                0.00121,                0.00121
                     20,                 2.0124,                  2.692,                 1.4025,                0.75426,                   0.45,                0.41271,                0.10606,                 2.5108,                 3.4506,                 1.3067,              0.0012351,              0.0012351,              0.0012351
                     21,                  1.977,                 2.4407,                 1.3349,                0.62428,                    0.4,                0.39603,                0.09818,                 2.4761,                 3.6283,                 1.2746,               0.001208,               0.001208,               0.001208
                     22,                 1.9509,                 2.6424,                 1.3651,                0.79519,                0.38918,                0.47357,                0.13014,                  2.548,                 3.4488,                 1.2724,               0.001208,               0.001208,               0.001208
                     23,                 1.9785,                 2.5441,                 1.3846,                0.75755,                    0.4,                0.41584,                0.13023,                 2.5757,                 3.2201,                 1.2674,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.1407,                 2.6741,                 1.5577,                0.70066,                   0.45,                 0.4421,                 0.0966,                 2.7459,                 3.1298,                 1.3313,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.0024,                 2.5429,                 1.2922,                0.70503,                    0.4,                0.38049,                0.10243,                   2.65,                 3.2282,                 1.3243,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.9919,                 2.5085,                 1.3393,                 0.6745,                   0.45,                0.43697,                0.09692,                 2.6982,                 3.1472,                 1.3616,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.9432,                 2.5936,                 1.3353,                0.74475,                    0.5,                0.53811,                0.12356,                 2.6702,                 3.0613,                 1.3728,                0.00101,                0.00101,                0.00101
                     28,                 2.0477,                 2.6006,                 1.2973,                0.87454,                    0.5,                0.55351,                0.16461,                 2.5646,                 3.0004,                 1.3375,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.8765,                 2.3176,                  1.373,                0.81942,                0.68135,                0.67987,                0.24867,                 2.4038,                 2.8297,                 1.2935,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.7504,                 1.9004,                 1.2797,                0.71594,                0.63079,                0.57775,                0.23589,                 2.2535,                 2.7413,                 1.2592,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.8254,                 2.2883,                 1.3365,                0.61244,                    0.5,                0.46947,                0.23288,                 2.1956,                 2.6543,                 1.2622,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6998,                 1.8915,                 1.3014,                0.72864,                0.53767,                0.54047,                0.23557,                 2.1809,                 2.5911,                 1.2787,               0.000812,               0.000812,               0.000812
                     33,                 1.8169,                  2.105,                 1.1555,                0.69468,                    0.5,                 0.5077,                0.22005,                 2.2866,                 2.6385,                 1.2545,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.6319,                 2.0046,                 1.2353,                0.69152,                    0.5,                0.48942,                0.19182,                  2.343,                 2.5675,                 1.3014,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.7392,                 2.0201,                 1.2729,                0.79304,                0.57566,                0.61282,                0.20621,                 2.3382,                 2.4997,                 1.2992,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.7207,                 1.8682,                 1.2607,                0.75403,                0.61369,                0.61306,                0.24638,                 2.2937,                 2.2298,                 1.2596,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6108,                 1.8682,                 1.2005,                0.65263,                0.65789,                0.65611,                0.24124,                 2.3313,                 2.2115,                 1.2565,               0.000614,               0.000614,               0.000614
                     38,                 1.6255,                 1.9809,                 1.2251,                0.56516,                    0.7,                0.61638,                0.18131,                 2.4093,                 2.3344,                  1.283,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5513,                  1.867,                 1.1559,                0.54485,                    0.7,                0.61874,                 0.1655,                 2.4431,                 2.3918,                  1.299,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.6044,                 1.8585,                 1.1895,                0.58584,                0.77847,                 0.6542,                0.21458,                 2.3329,                 2.0889,                  1.245,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5413,                  2.127,                 1.2022,                0.59428,                   0.75,                 0.6369,                0.22216,                 2.2888,                 1.9916,                 1.2356,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5934,                 2.0288,                 1.2561,                0.66537,                   0.75,                0.66645,                0.22151,                 2.3432,                 2.1574,                 1.2479,               0.000416,               0.000416,               0.000416
                     43,                 1.5436,                  2.182,                 1.1594,                0.90004,                   0.65,                0.71264,                0.21409,                 2.4091,                 2.3491,                  1.274,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.6797,                 2.0085,                 1.2754,                0.78317,                    0.6,                0.61711,                0.17127,                 2.5202,                 2.4802,                 1.3552,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.6507,                 2.0661,                 1.2571,                0.76742,                    0.6,                0.62588,                0.18585,                 2.4492,                  2.389,                 1.3162,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.6076,                 1.8902,                 1.2185,                0.84742,                   0.65,                0.65145,                0.21224,                 2.3743,                 2.1894,                 1.2736,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6173,                 1.9384,                 1.2102,                0.83231,                   0.65,                0.64602,                0.21965,                 2.2646,                 2.1091,                 1.2318,               0.000218,               0.000218,               0.000218
                     48,                 1.5096,                 1.9192,                 1.1944,                0.76256,                   0.65,                0.65719,                0.24439,                  2.062,                 2.0672,                 1.1664,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.6005,                 2.1491,                 1.2671,                0.76029,                   0.65,                0.62637,                0.23879,                 2.0349,                 2.0864,                 1.1542,              0.0001388,              0.0001388,              0.0001388
                     50,                  1.482,                 1.9473,                 1.2284,                 0.7456,                   0.65,                0.62638,                0.23124,                 2.0379,                 2.1099,                 1.1529,               9.92e-05,               9.92e-05,               9.92e-05
